,network,id,address,balance,contract,createdAt,dao
5574,mainnet,0xe19f2584f4b195c5af9bdd55b3a3c189abe33990728c73982bcebfa574bae678,0x590996e0e4166a51e9aa604b32a13bf7d919ebf2,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561034923,0x6bee9b81e434f7afce72a43a4016719315069539
5575,mainnet,0xe1accecbca7d197f4a3780b24eed21f43074dcfedd2e6ba9d18db59b0ce597c2,0x018562a33f50d98ebd63a4e78a0b378441030394,120000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561047476,0x6bee9b81e434f7afce72a43a4016719315069539
5576,mainnet,0xe1ca1e8619196f12437100c4e6ff904a39fc116e4dc0f1e15a2f975996a1b430,0x0cbeb2fd43bbe182f66c34aced141b2f97c50b80,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561033816,0x6bee9b81e434f7afce72a43a4016719315069539
5577,mainnet,0xe1d3f71705ccd990af40ac1a7aea34b26d6f5cdafa2e009b8da0ee9ba572207c,0xec7fe1bbbc4955836bd54d23088a91e5b4b32b77,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561034306,0x6bee9b81e434f7afce72a43a4016719315069539
5578,mainnet,0xe1d94b6f43bc8ff7b9e50eeb829b467b4cf694cb33a5c62bed57debca376c071,0x12634d366245e5e1cf723c39fa01a4cf14bc5c95,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561033391,0x6bee9b81e434f7afce72a43a4016719315069539
5579,mainnet,0xe1d94e83e7ec86fd0777338dc5a927b068d9ecfa9869284f363a72425ad5f854,0x551d74a7fccdfb456ce1f7e3461e47932d2b2b56,70000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561036901,0x6bee9b81e434f7afce72a43a4016719315069539
5580,mainnet,0xe1dcff956469b135c984b1d9624611cc3234122c2fffc5deea18770f6638939f,0x8356b3a69ddc8ed8c3c58d0e77e01b7f37a4881f,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561047476,0x6bee9b81e434f7afce72a43a4016719315069539
5581,mainnet,0xe1dde8e45f6421ecda242e91ba13f4e28ebe2941b1b5f5ccc10c0e0b0628ae0c,0x91259b5dd4727e6ae59edd03e8180eff6d1cd5ea,70000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561046951,0x6bee9b81e434f7afce72a43a4016719315069539
5582,mainnet,0xe1e2f3025e7c5b337874095cc5e09d990a8c4bb31c7ad11ddee5974fcc8b2168,0x1b13930ce5ce5fbad0d5d4b7716077e965f3ce2a,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561033427,0x6bee9b81e434f7afce72a43a4016719315069539
5583,mainnet,0xe1e326f0dcc3914bb148bafd5dcc7a934ba6c0b9b706bba5955ec89adb16440a,0xfcad3475520fb54fc95305a6549a79170da8b7c0,50000000000000000000,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,1580526133,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
